         924 function calls (887 primitive calls) in 0.042 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/shape_base.py:208(_arrays_for_stack_dispatcher)
        3    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/_asarray.py:86(asanyarray)
        7    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/arrayprint.py:65(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.chdir}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        7    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       23    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/posixpath.py:41(_get_sep)
        7    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       14    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/imutils/convenience.py:154(grab_contours)
        7    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/codecs.py:259(__init__)
        7    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/codecs.py:185(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        5    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        7    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2584(_amax_dispatcher)
